tempo,aceleracao,altitude,pressao,latitude,longitude,gx,gy,gz,paraquedas
0,0,0,101325,-23.36352921,-48.01247025,0,0,0,FECHADO
1,58.5,20,101300,-23.36352921,-48.01247025,0.1,0.2,0.3,FECHADO
2,45.0,90,101250,-23.36352921,-48.01247025,0.1,0.3,0.4,FECHADO
3,30.0,200,101150,-23.36352921,-48.01246643,0.2,0.4,0.5,FECHADO
4,15.0,350,101000,-23.36352921,-48.01246643,0.3,0.5,0.6,FECHADO
5,0.0,500,100850,-23.36352921,-48.01246643,0.2,0.4,0.5,FECHADO
6,-10.0,700,100700,-23.36352921,-48.01246643,-0.1,-0.2,-0.3,FECHADO
7,-20.0,897,100500,-23.36352921,-48.01246643,-0.2,-0.3,-0.4,FECHADO
8,-15.0,850,100550,-23.36195946,-48.01098251,-0.3,-0.4,-0.5,ABERTO
9,-10.0,700,100700,-23.36148262,-48.01065445,-0.4,-0.5,-0.6,ABERTO
10,-5.0,500,100850,-23.36089706,-48.01020432,-0.3,-0.4,-0.5,ABERTO
11,-2.0,300,101050,-23.36054993,-48.00989532,-0.2,-0.3,-0.4,ABERTO
12,-1.0,100,101150,-23.36054993,-48.00989532,-0.1,-0.2,-0.3,ABERTO
